frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.request.uri,http.host,http.user_agent,http.response.code
"306",,,,,,,,,,,
"307","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"308",,,,,,,,,,,
"309","192.168.1.2","192.168.1.1",,,"2760","53",,,,,
"310","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"311","192.168.1.2","192.168.1.1",,,"2761","53",,,,,
"312","192.168.1.1","192.168.1.2",,,"53","2761",,,,,
"313","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"314","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"315","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"316","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"317",,,,,,,,,,,
"318",,,,,,,,,,,
"319",,,,,,,,,,,
"320","192.168.1.1","192.168.1.2",,,"53","2763",,,,,
"321",,,,,,,,,,,
"322","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"323",,,,,,,,,,,
"324","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"325","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"326","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"327","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"328","192.168.1.2","170.170.170.170",,,"43690","43690",,,,,
"329",,,,,,,,,,,
"330",,,,,,,,,,,
"331","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"332","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"333","192.168.1.110","192.168.1.1",,,"2765","53",,,,,
"334","192.168.1.1","192.168.1.2",,,"53","2765",,,,,
"335","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"336","192.168.1.172","192.168.1.1",,,"2766","53",,,,,
"337","192.168.1.2","192.168.1.1",,,"2766","53",,,,,
"338","192.168.1.2","192.168.1.1",,,"2766","53",,,,,
"339",,,,,,,,,,,
"340","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"341","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"342","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"343","192.168.1.2","192.168.1.1",,,"14798","53",,,,,
"344","192.168.1.2","192.168.1.1",,,"2767","53",,,,,
"345","192.168.1.1","192.168.1.2",,,"53","2767",,,,,
"346","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"347","192.168.1.2","192.168.1.1",,,"2768","53",,,,,
"348","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"349","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"350","192.168.1.2","192.168.1.1",,,"2768","53",,,,,
"351","192.168.1.2","192.168.1.1",,,"35536","53",,,,,
"352","94.168.1.2","192.168.1.1",,,"2768","4",,,,,
"353","192.168.1.2","192.168.1.1",,,"2768","53",,,,,
"354","192.168.1.2","192.168.1.1",,,"2769","53",,,,,
"355","192.168.1.1","192.168.1.2",,,"117","2769",,,,,
"356","170.170.170.170","170.170.170.170",,,,,,,,,
"357",,,,,,,,,,,
"358",,,,,,,,,,,
"359","192.168.1.2","192.168.1.1",,,,,,,,,
"360","192.168.1.2","192.168.1.1",,,"2770","53",,,,,
"361","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"362","192.168.1.2","120.168.1.255",,,"137","137",,,,,
"363",,,,,,,,,,,
"364","192.168.1.2","192.168.1.1",,,"2770","53",,,,,
"365","192.168.1.57","192.168.1.1",,,"2771","53",,,,,
"366","192.168.1.1","192.168.1.2",,,"53","2771",,,,,
"367","13.168.1.2","212.242.33.35",,,,,,,,,
"368","192.168.1.2","192.168.1.255",,,"138","138",,,,,
"369",,,,,,,,,,,
"370",,,,,,,,,,,
"371","192.168.1.2","192.168.1.1",,,"2772","53",,,,,
"372","192.168.1.2","192.168.1.1",,,"2772","53",,,,,
"373","192.168.1.2","192.168.1.1",,,"2772","53",,,,,
"374","192.168.1.2","192.184.1.1",,,"2772","53",,,,,
"375","192.168.1.2","192.168.1.1",,,"2772","53",,,,,
"376","192.168.1.2","192.168.1.1",,,"2773","53",,,,,
"377","192.168.1.1","192.168.1.2",,,,,,,,,
"378","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"379","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"380","192.168.1.2","192.168.1.255",,,"137","137",,,,,
